Year,Landings,splate,fallcam,spearly,cabs,cabf,Dummy
1960,5.799,,,,,,100000
1961,4.627,,,,,,100000
1962,1.228,,,,,,100000
1963,2.183,,,,,,100000
1964,1.066,,,,,,100000
1965,2.177,,,,,,100000
1966,7.522,,,,,,100000
1967,11.503,,,,,,100000
1968,10.599,,,,,,100000
1969,4.7,,,,,,100000
1970,6.763,,,,,,100000
1971,14.965,,,,,,100000
1972,9.177,,,,,,100000
1973,6.691,,,,,,100000
1974,8.045,,,,,,100000
1975,6.168,,,,,,100000
1976,6.035,,,,,,100000
1977,5.759,,,,,,100000
1978,3.473,,,,,,100000
1979,3.077,,,,,,100000
1980,2.42,,,,,,100000
1981,2.425,,,,,,100000
1982,3.732,,,,,,100000
1983,3.616,,,,,,100000
1984,2.802,,,14.313,,,100000
1985,8.771,,,24.581,,,100000
1986,9.131,,,9.214,,,100000
1987,7.596,,,11.199,,,100000
1988,7.325,,,24.655,,,100000
1989,3.688,,,8.988,,,100000
1990,4.179,,15.368,10.759,,,100000
1991,4.847,7.07,5.477,,,,100000
1992,4.96,8.217,9.118,,,,100000
1993,4.414,4.226,9.474,,,,100000
1994,1.119,16.279,7.821,,,,100000
1995,0.3,4.057,11.743,,,,100000
1996,0.358,4.085,12.278,,,,100000
1997,0.512,7.133,4.691,,,,100000
1998,0.612,2.688,6.689,,,,100000
1999,0.763,8.936,13.33,,,,100000
2000,0.545,5.49,7.64,,,,100000
2001,0.694,9.418,7.021,,,,100000
2002,0.45,7.562,11.13,,,,100000
2003,1.544,15.855,10.315,,,,100000
2004,0.627,11.825,18.632,,,,100000
2005,0.257,6.865,18.132,,,,100000
2006,0.481,,14.605,,,,100000
2007,0.222,7.189,7.715,,,,100000
2008,0.264,8.825,22.739,,,,100000
2009,0.376,9.179,37.708,,,,100000
2010,0.421,6.639,27.039,,,,100000
2011,0.351,9.746,17.939,,,,100000
2012,0.314,12.844,27.033,,,,100000
2013,0.328,24.396,17.668,,,,100000
2014,0.335,,,,10.70156616,,100000
2015,0.359,4.927,10.101,,,,100000
2016,1.062,,7.869,,7.133560476,,100000
2017,0.656,9.054,9.478,,,,100000
2018,0.641,,11.576,,5.771010498,,100000
2019,0.863,7.921459003,15.15716314,,,,100000
2020,0.665,,10.20736577,,,,100000
2021,0.626,,,,,,100000
2022,0.622,,,,11.88502602,,100000
2023,0.268,,,,8.492612411,11.9835335,100000
2024,0.247,,,,5.423709334,6.82253507,100000
2025,0.25,,,,7.038808053,5.746015212,100000
